z,symbol,n,a,radius_val,radius_unc,radius_preliminary_val,radius_preliminary_unc
70,Yb,102,172,5.2995,0.0058,5.2995,0.0058
70,Yb,103,173,5.3046,0.0059,5.3046,0.0059
70,Yb,104,174,5.3108,0.0060,5.3108,0.0060
70,Yb,105,175,5.3135,0.0061,5.3135,0.0061
70,Yb,106,176,5.3215,0.0062,5.3215,0.0062
71,Lu,90,161,5.2293,0.0320,,
71,Lu,91,162,5.2398,0.0317,,
71,Lu,92,163,5.2567,0.0312,,
71,Lu,93,164,5.2677,0.0310,,
71,Lu,94,165,5.2830,0.0307,,
71,Lu,95,166,5.2972,0.0305,,
71,Lu,96,167,5.3108,0.0303,,
71,Lu,97,168,5.3227,0.0302,,
71,Lu,98,169,5.3290,0.0302,,
71,Lu,99,170,5.3364,0.0302,,
71,Lu,100,171,5.3436,0.0302,,
71,Lu,101,172,5.3486,0.0302,,
71,Lu,102,173,5.3577,0.0303,,
71,Lu,103,174,5.3634,0.0303,,
71,Lu,104,175,5.3700,0.0304,,
71,Lu,105,176,5.3739,0.0304,,
71,Lu,106,177,5.3815,0.0305,,
71,Lu,107,178,5.3857,0.0306,,
71,Lu,108,179,5.3917,0.0307,,
72,Hf,98,170,5.2898,0.0055,,
72,Hf,99,171,5.3041,0.0049,,
72,Hf,100,172,5.3065,0.0043,,
72,Hf,101,173,5.3140,0.0038,,
72,Hf,102,174,5.3201,0.0035,,
72,Hf,103,175,5.3191,0.0036,,
72,Hf,104,176,5.3286,0.0032,,
72,Hf,105,177,5.3309,0.0031,,
72,Hf,106,178,5.3371,0.0031,,
72,Hf,107,179,5.3408,0.0031,,
72,Hf,108,180,5.3470,0.0032,,
72,Hf,110,182,5.3516,0.0036,,
73,Ta,108,181,5.3507,0.0034,,
74,W,106,180,5.3491,0.0022,,
74,W,108,182,5.3559,0.0017,,
74,W,109,183,5.3611,0.0020,,
74,W,110,184,5.3658,0.0023,,
74,W,112,186,5.3743,0.0026,,
75,Re,110,185,5.3596,0.0172,,
75,Re,112,187,5.3698,0.0173,,
76,Os,108,184,5.3823,0.0022,,
76,Os,110,186,5.3909,0.0017,,
76,Os,111,187,5.3933,0.0018,,
76,Os,112,188,5.3993,0.0011,,
76,Os,113,189,5.4016,0.0012,,
76,Os,114,190,5.4062,0.0013,,
76,Os,116,192,5.4126,0.0015,,
77,Ir,105,182,5.3705,0.1061,,
77,Ir,106,183,5.3780,0.1061,,
77,Ir,107,184,5.3805,0.1061,,
77,Ir,108,185,5.3854,0.1061,,
77,Ir,109,186,5.3900,0.1061,,
77,Ir,110,187,5.3812,0.1061,,
77,Ir,111,188,5.3838,0.1061,,
77,Ir,112,189,5.3898,0.1061,,
77,Ir,114,191,5.3968,0.1061,,
77,Ir,116,193,5.4032,0.1061,,
78,Pt,100,178,5.3728,0.0066,,
78,Pt,101,179,5.3915,0.0050,,
78,Pt,102,180,5.3891,0.0049,,
78,Pt,103,181,5.3996,0.0041,,
78,Pt,104,182,5.3969,0.0041,,
78,Pt,105,183,5.4038,0.0036,,
78,Pt,106,184,5.4015,0.0036,,
78,Pt,107,185,5.4148,0.0028,,
78,Pt,108,186,5.4037,0.0036,,
78,Pt,109,187,5.4063,0.0037,,
78,Pt,110,188,5.4053,0.0034,,
78,Pt,111,189,5.4060,0.0035,,
78,Pt,112,190,5.4108,0.0030,,
78,Pt,113,191,5.4102,0.0031,,
78,Pt,114,192,5.4169,0.0028,,
78,Pt,115,193,5.4191,0.0027,,
78,Pt,116,194,5.4236,0.0025,,
78,Pt,117,195,5.4270,0.0026,,
78,Pt,118,196,5.4307,0.0027,,
78,Pt,120,198,5.4383,0.0032,,
79,Au,104,183,5.4247,0.0043,,
79,Au,105,184,5.4306,0.0041,,
79,Au,106,185,5.4296,0.0041,,
79,Au,107,186,5.4354,0.0039,,
79,Au,108,187,5.4018,0.0058,,
79,Au,109,188,5.4049,0.0055,,
79,Au,110,189,5.4084,0.0052,,
79,Au,111,190,5.4109,0.0049,,
79,Au,112,191,5.4147,0.0046,,
79,Au,113,192,5.4179,0.0044,,
79,Au,114,193,5.4221,0.0042,,
79,Au,115,194,5.4252,0.0040,,
79,Au,116,195,5.4298,0.0040,,
79,Au,117,196,5.4332,0.0039,,
79,Au,118,197,5.4371,0.0038,,
79,Au,119,198,5.4400,0.0038,,
79,Au,120,199,5.4454,0.0039,,
80,Hg,101,181,5.4364,0.0032,,
80,Hg,102,182,5.3833,0.0052,,
80,Hg,103,183,5.4405,0.0031,,
80,Hg,104,184,5.3949,0.0047,,
80,Hg,105,185,5.4397,0.0031,,
80,Hg,106,186,5.4017,0.0043,,
80,Hg,107,187,5.4046,0.0042,,
80,Hg,108,188,5.4085,0.0040,,
80,Hg,109,189,5.4100,0.0040,,
80,Hg,110,190,5.4158,0.0037,,
80,Hg,111,191,5.4171,0.0037,,
80,Hg,112,192,5.4232,0.0035,,
80,Hg,113,193,5.4238,0.0035,,
80,Hg,114,194,5.4309,0.0033,,
80,Hg,115,195,5.4345,0.0032,,
80,Hg,116,196,5.4385,0.0031,,
80,Hg,117,197,5.4412,0.0031,,
80,Hg,118,198,5.4463,0.0031,,
80,Hg,119,199,5.4474,0.0031,,
80,Hg,120,200,5.4551,0.0031,,
80,Hg,121,201,5.4581,0.0032,,
80,Hg,122,202,5.4648,0.0033,,
80,Hg,123,203,5.4679,0.0035,,
80,Hg,124,204,5.4744,0.0036,,
80,Hg,125,205,5.4776,0.0038,,
80,Hg,126,206,5.4837,0.0040,,
81,Tl,107,188,5.4017,0.0072,5.4017,0.0072
81,Tl,109,190,5.4121,0.0056,5.4121,0.0056
81,Tl,110,191,5.4169,0.0048,5.4169,0.0048
81,Tl,111,192,5.4191,0.0051,5.4191,0.0051
81,Tl,112,193,5.4243,0.0042,5.4243,0.0042
81,Tl,113,194,5.4259,0.0046,5.4259,0.0046
81,Tl,114,195,5.4325,0.0039,5.4325,0.0039
81,Tl,115,196,5.4327,0.0042,5.4327,0.0042
81,Tl,116,197,5.4388,0.0036,5.4388,0.0036
81,Tl,117,198,5.4396,0.0036,5.4396,0.0036
81,Tl,118,199,5.4479,0.0031,5.4479,0.0031
81,Tl,119,200,5.4491,0.0031,5.4491,0.0031
81,Tl,120,201,5.4573,0.0029,5.4573,0.0029
81,Tl,121,202,5.4595,0.0027,5.4595,0.0027
81,Tl,122,203,5.4666,0.0027,5.4666,0.0027
81,Tl,123,204,5.4704,0.0028,5.4704,0.0028
81,Tl,124,205,5.4759,0.0026,5.4759,0.0026
81,Tl,126,207,5.4853,0.0027,5.4853,0.0027
81,Tl,127,208,5.4946,0.0028,5.4946,0.0028
82,Pb,100,182,5.3788,0.0035,,
82,Pb,101,183,5.3869,0.0030,,
82,Pb,102,184,5.3930,0.0029,,
82,Pb,103,185,5.3984,0.0028,,
82,Pb,104,186,5.4027,0.0027,,
82,Pb,105,187,5.4079,0.0026,,
82,Pb,106,188,5.4139,0.0025,,
82,Pb,107,189,5.4177,0.0024,,
82,Pb,108,190,5.4222,0.0023,,
82,Pb,109,191,5.4229,0.0026,,
82,Pb,110,192,5.4300,0.0025,,
82,Pb,111,193,5.4310,0.0023,,
82,Pb,112,194,5.4372,0.0023,,
82,Pb,113,195,5.4389,0.0045,,
82,Pb,114,196,5.4444,0.0024,,
82,Pb,115,197,5.4446,0.0024,,
82,Pb,116,198,5.4524,0.0022,,
82,Pb,117,199,5.4529,0.0022,,
82,Pb,118,200,5.4611,0.0020,,
82,Pb,119,201,5.4629,0.0019,,
82,Pb,120,202,5.4705,0.0017,,
82,Pb,121,203,5.4727,0.0017,,
82,Pb,122,204,5.4803,0.0014,,
82,Pb,123,205,5.4828,0.0015,,
82,Pb,124,206,5.4902,0.0014,,
82,Pb,125,207,5.4943,0.0014,,
82,Pb,126,208,5.5012,0.0013,,
82,Pb,127,209,5.5100,0.0014,,
82,Pb,128,210,5.5208,0.0016,,
82,Pb,129,211,5.5290,0.0017,,
82,Pb,130,212,5.5396,0.0019,,
82,Pb,132,214,5.5577,0.0023,,
83,Bi,119,202,5.4840,0.0912,,
83,Bi,120,203,5.4911,0.0911,,
83,Bi,121,204,5.4934,0.0910,,
83,Bi,122,205,5.5008,0.0909,,
83,Bi,123,206,5.5034,0.0909,,
83,Bi,124,207,5.5103,0.0907,,
83,Bi,125,208,5.5147,0.0907,,
83,Bi,126,209,5.5211,0.0906,,
83,Bi,127,210,5.5300,0.0904,,
83,Bi,129,212,5.5489,0.0901,,
83,Bi,130,213,5.5586,0.0900,,
84,Po,108,192,5.5220,0.0178,5.5220,0.0194
84,Po,110,194,5.5167,0.0178,5.5167,0.0192
84,Po,112,196,5.5136,0.0178,5.5136,0.0189
84,Po,114,198,5.5146,0.0178,5.5146,0.0193
84,Po,116,200,5.5199,0.0178,5.5199,0.0190
84,Po,118,202,5.5281,0.0177,5.5281,0.0191
84,Po,120,204,5.5378,0.0177,5.5378,0.0189
84,Po,121,205,5.5389,0.0177,5.5389,0.0189
84,Po,122,206,5.5480,0.0177,5.5480,0.0189
84,Po,123,207,5.5501,0.0177,5.5501,0.0189
84,Po,124,208,5.5584,0.0176,5.5584,0.0176
84,Po,125,209,5.5628,0.0176,5.5631,0.0187
84,Po,126,210,5.5704,0.0176,5.5704,0.0185
84,Po,132,216,5.6359,0.0174,5.6394,0.0186
84,Po,134,218,5.6558,0.0173,5.6558,0.0186
86,Rn,116,202,5.5521,0.0181,,
86,Rn,118,204,5.5568,0.0180,,
86,Rn,119,205,5.5569,0.0180,,
86,Rn,120,206,5.5640,0.0178,,
86,Rn,121,207,5.5652,0.0178,,
86,Rn,122,208,5.5725,0.0177,,
86,Rn,123,209,5.5743,0.0177,,
86,Rn,124,210,5.5813,0.0177,,
86,Rn,125,211,5.5850,0.0176,,
86,Rn,126,212,5.5915,0.0176,,
86,Rn,132,218,5.6540,0.0187,,
86,Rn,133,219,5.6648,0.0191,,
86,Rn,134,220,5.6731,0.0194,,
86,Rn,135,221,5.6834,0.0199,,
86,Rn,136,222,5.6915,0.0203,,
87,Fr,120,207,5.5720,0.0176,5.5689,0.0177
87,Fr,121,208,5.5729,0.0176,5.5699,0.0177
87,Fr,122,209,5.5799,0.0176,5.5780,0.0177
87,Fr,123,210,5.5818,0.0176,5.5803,0.0177
87,Fr,124,211,5.5882,0.0176,5.5876,0.0176
87,Fr,125,212,5.5915,0.0176,5.5915,0.0176
87,Fr,126,213,5.5977,0.0176,5.5986,0.0176
87,Fr,133,220,5.6688,0.0177,5.6803,0.0174
87,Fr,134,221,5.6790,0.0177,5.6920,0.0173
87,Fr,135,222,5.6890,0.0177,5.7018,0.0173
87,Fr,136,223,5.6951,0.0178,5.7104,0.0173
87,Fr,137,224,5.7061,0.0178,5.7229,0.0173
87,Fr,138,225,5.7112,0.0178,5.7288,0.0173
87,Fr,139,226,5.7190,0.0178,5.7376,0.0172
87,Fr,140,227,5.7335,0.0179,5.7542,0.0172
87,Fr,141,228,5.7399,0.0179,5.7614,0.0172
88,Ra,120,208,5.5850,0.0183,,
88,Ra,121,209,5.5853,0.0182,,
88,Ra,122,210,5.5917,0.0180,,
88,Ra,123,211,5.5929,0.0179,,
88,Ra,124,212,5.5991,0.0177,,
88,Ra,125,213,5.6020,0.0177,,
88,Ra,126,214,5.6079,0.0177,,
88,Ra,132,220,5.6683,0.0215,,
88,Ra,133,221,5.6795,0.0228,,
88,Ra,134,222,5.6874,0.0239,,
88,Ra,135,223,5.6973,0.0253,,
88,Ra,136,224,5.7046,0.0263,,
88,Ra,137,225,5.7150,0.0279,,
88,Ra,138,226,5.7211,0.0288,,
88,Ra,139,227,5.7283,0.0300,,
88,Ra,140,228,5.7370,0.0315,,
88,Ra,141,229,5.7455,0.0329,,
88,Ra,142,230,5.7551,0.0346,,
88,Ra,144,232,5.7714,0.0375,,
90,Th,137,227,5.7404,0.0165,,
90,Th,138,228,5.7488,0.0152,,
90,Th,139,229,5.7557,0.0143,,
90,Th,140,230,5.7670,0.0131,,
90,Th,142,232,5.7848,0.0124,,
92,U,141,233,5.8203,0.0049,,
92,U,142,234,5.8291,0.0052,,
92,U,143,235,5.8337,0.0041,,
92,U,144,236,5.8431,0.0038,,
92,U,146,238,5.8571,0.0033,,
94,Pu,144,238,5.8535,0.0378,,
94,Pu,145,239,5.8601,0.0378,,
94,Pu,146,240,5.8701,0.0379,,
94,Pu,147,241,5.8748,0.0379,,
94,Pu,148,242,5.8823,0.0380,,
94,Pu,150,244,5.8948,0.0382,,
95,Am,146,241,5.8928,0.0042,,
95,Am,148,243,5.9048,0.0035,,
96,Cm,146,242,5.8285,0.0192,,
96,Cm,148,244,5.8429,0.0181,,
96,Cm,149,245,5.8475,0.0182,,
96,Cm,150,246,5.8562,0.0184,,
96,Cm,152,248,5.8687,0.0193,,
4,Be,8,12,,,2.5030,0.0150
12,Mg,9,21,,,3.0626,0.0067
12,Mg,10,22,,,3.0688,0.0052
12,Mg,11,23,,,3.0425,0.0039
12,Mg,15,27,,,3.0324,0.0022
12,Mg,16,28,,,3.0691,0.0034
12,Mg,17,29,,,3.0756,0.0040
12,Mg,18,30,,,3.1107,0.0056
12,Mg,19,31,,,3.1486,0.0076
12,Mg,20,32,,,3.1861,0.0131
19,K,18,37,,,3.4194,0.0292
19,K,29,48,,,3.4689,0.0023
19,K,30,49,,,3.4913,0.0046
19,K,31,50,,,3.5046,0.0067
19,K,32,51,,,3.5196,0.0087
31,Ga,32,63,,,3.9308,0.0124
31,Ga,33,64,,,3.9390,0.0110
31,Ga,35,66,,,3.9706,0.0071
31,Ga,37,68,,,3.9850,0.0048
31,Ga,39,70,,,3.9998,0.0027
31,Ga,41,72,,,4.0318,0.0031
31,Ga,42,73,,,4.0420,0.0042
31,Ga,43,74,,,4.0395,0.0045
31,Ga,44,75,,,4.0472,0.0055
31,Ga,45,76,,,4.0460,0.0060
31,Ga,46,77,,,4.0500,0.0068
31,Ga,47,78,,,4.0453,0.0072
31,Ga,48,79,,,4.0478,0.0079
31,Ga,49,80,,,4.0418,0.0083
31,Ga,50,81,,,4.0441,0.0089
31,Ga,51,82,,,4.0671,0.0108
47,Ag,50,97,,,4.4202,0.0226
47,Ag,51,98,,,4.4518,0.0180
47,Ag,52,99,,,4.4630,0.0179
47,Ag,53,100,,,4.4719,0.0280
70,Yb,107,177,,,5.3239,0.0062
81,Tl,102,183,,,5.3786,0.0105
81,Tl,104,185,,,5.3896,0.0098
84,Po,109,193,,,5.5185,0.0189
84,Po,111,195,,,5.5127,0.0189
84,Po,113,197,,,5.5112,0.0189
84,Po,115,199,,,5.5123,0.0189
84,Po,117,201,,,5.5190,0.0189
84,Po,119,203,,,5.5297,0.0189
84,Po,127,211,,,5.5798,0.0187
87,Fr,115,202,,,5.5505,0.0178
87,Fr,116,203,,,5.5560,0.0178
87,Fr,118,205,,,5.5609,0.0178
